year,home,away,home_score,away_score,model,p_home_win,p_draw,p_away_win,brier,log_loss,correct
2010,Cameroon,Netherlands,1,2,tournament,0.1462,0.1834,0.6705,0.16359,0.3998,1
2010,Cameroon,Netherlands,1,2,combined_default,0.1631,0.1912,0.6457,0.18873,0.43748,1
2010,Cameroon,Netherlands,1,2,combined_optimized,0.1443,0.1825,0.6732,0.16095,0.39575,1
2010,Denmark,Japan,1,3,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,Denmark,Japan,1,3,elo,0.3145,0.2614,0.4242,0.49881,0.85766,1
2010,Denmark,Japan,1,3,form,0.3046,0.2564,0.439,0.47329,0.82332,1
2010,Denmark,Japan,1,3,tournament,0.4057,0.2677,0.3266,0.68964,1.11889,0
2010,Denmark,Japan,1,3,combined_default,0.3338,0.2612,0.405,0.53374,0.90396,1
2010,Denmark,Japan,1,3,combined_optimized,0.3195,0.2581,0.4225,0.50223,0.86168,1
2010,Paraguay,New Zealand,0,0,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,Paraguay,New Zealand,0,0,elo,0.5021,0.236,0.2618,0.90433,1.44377,0
2010,Paraguay,New Zealand,0,0,form,0.5021,0.236,0.2618,0.90433,1.44377,0
2010,Paraguay,New Zealand,0,0,tournament,0.6779,0.1809,0.1412,1.15031,1.70956,0
2010,Paraguay,New Zealand,0,0,combined_default,0.5461,0.2223,0.2317,0.95673,1.50389,0
2010,Paraguay,New Zealand,0,0,combined_optimized,0.528,0.2279,0.2441,0.93443,1.47871,0
2010,Slovakia,Italy,3,2,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,1
2010,Slovakia,Italy,3,2,elo,0.1394,0.1801,0.6805,1.23607,1.97022,0
2010,Slovakia,Italy,3,2,form,0.1466,0.1836,0.6698,1.21056,1.91985,0
2010,Slovakia,Italy,3,2,tournament,0.1001,0.1597,0.7402,1.38321,2.30152,0
2010,Slovakia,Italy,3,2,combined_default,0.1321,0.1762,0.6917,1.26267,2.02406,0
2010,Slovakia,Italy,3,2,combined_optimized,0.1398,0.1801,0.6801,1.23499,1.96764,0
2010,Chile,Spain,1,2,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,Chile,Spain,1,2,elo,0.2078,0.2117,0.5805,0.26396,0.54384,1
2010,Chile,Spain,1,2,form,0.1547,0.1874,0.6579,0.17611,0.41875,1
2010,Chile,Spain,1,2,tournament,0.1669,0.1931,0.64,0.19478,0.44633,1
2010,Chile,Spain,1,2,combined_default,0.179,0.1986,0.6225,0.214,0.47409,1
2010,Chile,Spain,1,2,combined_optimized,0.1565,0.1883,0.6552,0.1788,0.42276,1
2010,North Korea,Ivory Coast,0,3,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,North Korea,Ivory Coast,0,3,elo,0.2264,0.22,0.5536,0.2989,0.59127,1
2010,North Korea,Ivory Coast,0,3,form,0.1921,0.2046,0.6033,0.2361,0.50529,1
2010,North Korea,Ivory Coast,0,3,tournament,0.2196,0.217,0.5634,0.28589,0.5737,1
2010,North Korea,Ivory Coast,0,3,combined_default,0.2127,0.2138,0.5735,0.27289,0.55604,1
2010,North Korea,Ivory Coast,0,3,combined_optimized,0.1961,0.2064,0.5975,0.24311,0.51506,1
2010,Portugal,Brazil,0,0,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,Portugal,Brazil,0,0,elo,0.199,0.2077,0.5932,1.01919,1.57144,0
2010,Portugal,Brazil,0,0,form,0.1602,0.19,0.6498,1.10391,1.66061,0
2010,Portugal,Brazil,0,0,tournament,0.1622,0.1909,0.6469,1.09933,1.6558,0
2010,Portugal,Brazil,0,0,combined_default,0.1762,0.1973,0.6264,1.06772,1.62282,0
2010,Portugal,Brazil,0,0,combined_optimized,0.1605,0.1902,0.6493,1.10323,1.6599,0
2010,Switzerland,Honduras,0,0,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,Switzerland,Honduras,0,0,elo,0.3395,0.2746,0.3858,0.79029,1.29229,0
2010,Switzerland,Honduras,0,0,form,0.3366,0.273,0.3903,0.79414,1.29812,0
2010,Switzerland,Honduras,0,0,tournament,0.3469,0.2788,0.3743,0.78061,1.27733,0
2010,Switzerland,Honduras,0,0,combined_default,0.3403,0.2751,0.3845,0.78916,1.29056,0
2010,Switzerland,Honduras,0,0,combined_optimized,0.3381,0.2739,0.388,0.7921,1.29503,0
